origin_name,destination_name,generated_distance_m_full,reference_distance_m_full,signed_difference_m,absolute_difference_m,within_tolerance
C,J3,22404.367503004974,22404.425963769503,-0.058460764528717846,0.058460764528717846,True
C,J6,24224.816339499357,24224.808537425597,0.007802073760103667,0.007802073760103667,True
C,K,31541.424388079424,31540.4014712302,1.0229168492223835,1.0229168492223835,False
J1,D,26197.646392608327,26191.8895337794,5.756858828928671,5.756858828928671,False
J1,E,22970.67716076394,22964.9249846671,5.752176096837502,5.752176096837502,False
J1,G,22942.128511018316,22936.3763349215,5.752176096815674,5.752176096815674,False
J1,F4,22540.474761771053,22535.6781931306,4.796568640453188,4.796568640453188,False
J1,F5,25690.838298959137,25685.0814401302,5.756858828935947,5.756858828935947,False
J1,F6,21496.835855803507,21492.687333750102,4.148522053405031,4.148522053405031,False
J1,F7,17635.51527391106,17631.380002151,4.135271760060277,4.135271760060277,False
J1,S,21029.764869388826,21027.0197196232,2.7451497656256834,2.7451497656256834,False
J1,C,17585.97644779853,17586.4814587315,-0.505010932971345,0.505010932971345,True
J1,J1,0.0,0.0,0.0,0.0,True
J1,J3,7936.244511430551,7935.2305453460895,1.0139660844615719,1.0139660844615719,False
J1,J6,8092.982832772171,8091.902586337121,1.0802464350499577,1.0802464350499577,False
J1,K,45345.30161870794,45358.9055651183,-13.60394641035964,13.60394641035964,False
J3,D,31758.542375139376,31767.084912296697,-8.54253715732193,8.54253715732193,False
J3,E,28531.573143294983,28540.1203631844,-8.547219889416738,8.547219889416738,False
J3,G,28503.024493549365,28511.5717134388,-8.547219889434928,8.547219889434928,False
J3,F4,27910.627520918297,27921.9626819251,-11.335161006802082,11.335161006802082,False
J3,F5,31251.734281490186,31260.2768186475,-8.542537157314655,8.542537157314655,False
J3,F6,26489.592038424154,26490.0351411302,-0.4431027060454653,0.4431027060454653,True
J3,F7,22628.27145653171,22628.7278095312,-0.45635299948844477,0.45635299948844477,True
J3,S,27394.80247208631,27392.061000974,2.7414711123092275,2.7414711123092275,False
J3,C,23951.014050496033,23951.5227400823,-0.508689586265973,0.508689586265973,True
J3,J1,6874.43697805919,6874.44065671253,-0.0036786533401027555,0.0036786533401027555,True
J3,J3,0.0,0.0,0.0,0.0,True
J3,J6,8033.64412952705,8033.64412952705,0.0,0.0,True
J3,K,51710.339221405404,51723.946846469094,-13.607625063690648,13.607625063690648,False
J6,D,28087.345740343255,28081.5888815144,5.756858828855911,5.756858828855911,False
J6,E,24860.376508498863,24854.624332402,5.752176096862968,5.752176096862968,False
J6,G,24831.827858753244,24826.0756826564,5.752176096844778,5.752176096844778,False
J6,F4,24430.174109505984,24425.3775408656,4.796568640384066,4.796568640384066,False
J6,F5,27580.537646694065,27574.780787865202,5.756858828863187,5.756858828863187,False
J6,F6,23386.535203538435,23382.386681484997,4.148522053437773,4.148522053437773,False
J6,F7,19525.21462164599,19521.0793498859,4.135271760093019,4.135271760093019,False
J6,S,22919.464217123754,22916.7190673581,2.745149765654787,2.745149765654787,False
J6,C,18209.1033755509,18208.4828306331,0.6205449178014533,0.6205449178014533,True
J6,J1,4297.802542108672,4297.8025421086695,2.7284841053187847e-12,2.7284841053187847e-12,True
J6,J3,10724.345902318037,10724.412182668599,-0.06628035056201043,0.06628035056201043,True
J6,J6,0.0,0.0,0.0,0.0,True
J6,K,47236.62526902063,47250.229215430896,-13.603946410265053,13.603946410265053,False
K,D,37373.52005967291,37373.5359323145,-0.01587264159024926,0.01587264159024926,True
K,E,39144.58868305168,39144.60982462711,-0.021141575423825998,0.021141575423825998,True
K,G,39089.98383397275,39090.004975548196,-0.02114157544565387,0.02114157544565387,True
K,F4,40026.453774240035,40026.4749158154,-0.021141575365618337,0.021141575365618337,True
K,F5,39587.42273466764,39587.439193511,-0.016458843361760955,0.016458843361760955,True
K,F6,41414.58939335964,41414.610534935004,-0.021141575365618337,0.021141575365618337,True
K,F7,43149.733089273526,43149.729941195,0.00314807852555532,0.00314807852555532,True
K,S,32397.36488348779,32397.3666721914,-0.0017887036119645927,0.0017887036119645927,True
K,C,30925.328384317654,30925.0278657029,0.3005186147529457,0.3005186147529457,True
K,J1,46111.86426279547,46111.6724547302,0.1918080652685603,0.1918080652685603,True
K,J3,52538.40762300482,52538.2820952902,0.12552771462651435,0.12552771462651435,True
K,J6,53849.97618295941,53848.704128459096,1.2720545003176085,1.2720545003176085,False
K,K,0.0,0.0,0.0,0.0,True
